model,accuracy,macro_f1,f1_clean,f1_toxic,threshold,valid_macro_f1,train_seconds,predict_seconds
"MultinomialNB + Char Count ngram(3,5)",0.8611248149975333,0.7551603315459181,0.916232703466746,0.5940879596250901,13.109260530049596,0.7462539410863887,18.557309865951538,1.4118242263793945
"MultinomialNB + Word Count ngram(1,2)",0.8581647755303404,0.7546838230658982,0.914012262599073,0.5953553835327234,-0.36062440326810474,0.751899547781374,3.0559651851654053,0.1680927276611328
"PassiveAggressive + Hashing Word ngram(1,2)",0.8628515046867291,0.7543908434743192,0.9176052163604032,0.5911764705882353,0.06866742778523185,0.7256648853538805,9.338593006134033,0.18966197967529297
"Rocchio + TF-IDF Word ngram(1,2)",0.8223976319684262,0.7148087469281325,0.8899755501222495,0.5396419437340154,0.00442267797352297,0.6946790300697315,4.157714128494263,0.2520320415496826
"BernoulliNB + Binary Word ngram(1,2)",0.8115441539220523,0.704221876566148,0.8823891625615764,0.5260545905707196,-3.804371772073779,0.7102936047168253,2.748779058456421,0.15331602096557617
